symbol,company_name,sector,industry,isin,market_cap_category,nifty50,nifty_next50,listing_status
SREEL,Sreeleathers Ltd,Unknown,Unknown,INE099F01013,Unknown,false,false,Listed
SRF,SRF Ltd,Chemicals,Chemicals,INE647A01010,Mid Cap,false,false,Listed
SRGHFL,SRG Housing Finance Ltd,Unknown,Unknown,INE559N01010,Unknown,false,false,Listed
SRHHYPOLTD,Sree Rayalaseema Hi-Strength Hypo Ltd,Unknown,Unknown,INE917H01012,Unknown,false,false,Listed
SRM,SRM Contractors Ltd,Unknown,Unknown,INE0R6Z01013,Unknown,false,false,Listed
SRTL,Shree Ram Twistex Ltd,Unknown,Unknown,INE19GK01015,Unknown,false,false,Listed
SSDL,Saraswati Saree Depot Ltd,Unknown,Unknown,INE0PQ101010,Unknown,false,false,Listed
SSWL,Steel Strips Wheels Ltd,Unknown,Unknown,INE802C01033,Unknown,false,false,Listed
STALLION,Stallion India Fluorochemicals Ltd,Unknown,Unknown,INE0RYC01010,Unknown,false,false,Listed
STANLEY,Stanley Lifestyles Ltd,Unknown,Unknown,INE01A001028,Unknown,false,false,Listed
STAR,Strides Pharma Science Ltd,Healthcare,Healthcare,INE939A01011,Micro Cap,false,false,Listed
STARCEMENT,Star Cement Ltd,Construction Materials,Construction Materials,INE460H01021,Micro Cap,false,false,Listed
STARHEALTH,Star Health and Allied Insurance Company Ltd,Financial Services,Financial Services,INE575P01011,Small Cap,false,false,Listed
STARPAPER,Star Paper Mills Ltd,Unknown,Unknown,INE733A01018,Unknown,false,false,Listed
STARTECK,Starteck Finance Ltd,Unknown,Unknown,INE992I01013,Unknown,false,false,Listed
STCINDIA,The State Trading Corporation of India Ltd,Unknown,Unknown,INE655A01013,Unknown,false,false,Listed
STEELCAS,Steelcast Ltd,Unknown,Unknown,INE124E01038,Unknown,false,false,Listed
STEELCITY,Steel City Securities Ltd,Unknown,Unknown,INE395H01011,Unknown,false,false,Listed
STEELXIND,STEEL EXCHANGE INDIA Ltd,Unknown,Unknown,INE503B01021,Unknown,false,false,Listed
STEL,Stel Holdings Ltd,Unknown,Unknown,INE577L01016,Unknown,false,false,Listed
STLTECH,Sterlite Technologies Ltd.,Telecommunication,Telecommunication,INE089C01029,Micro Cap,false,false,Listed
STOVEKRAFT,Stove Kraft Ltd,Unknown,Unknown,INE00IN01015,Unknown,false,false,Listed
STUDDS,Studds Accessories Ltd,Unknown,Unknown,INE00Q601028,Unknown,false,false,Listed
STYL,Seshaasai Technologies Ltd,Financial Services,Financial Services,INE04VU01023,Micro Cap,false,false,Listed
STYLAMIND,Stylam Industries Ltd,Unknown,Unknown,INE239C01020,Unknown,false,false,Listed
STYRENIX,Styrenix Performance Materials Ltd,Chemicals,Chemicals,INE189B01011,Micro Cap,false,false,Listed
SUBROS,Subros Ltd,Capital Goods,Capital Goods,INE287B01021,Micro Cap,false,false,Listed
SUDARCOLOR,Sudarshan Colorants India Ltd,Unknown,Unknown,INE492A01029,Unknown,false,false,Listed
SUDARSCHEM,Sudarshan Chemical Industries Ltd,Chemicals,Chemicals,INE659A01023,Micro Cap,false,false,Listed
SUDEEPPHRM,Sudeep Pharma Ltd,Chemicals,Chemicals,INE0QPI01025,Micro Cap,false,false,Listed
SUKHJITS,Sukhjit Starch & Chemicals Ltd,Unknown,Unknown,INE450E01029,Unknown,false,false,Listed
SULA,Sula Vineyards Ltd,Unknown,Unknown,INE142Q01026,Unknown,false,false,Listed
SUMEETINDS,Sumeet Industries Ltd,Unknown,Unknown,INE235C01036,Unknown,false,false,Listed
SUMICHEM,Sumitomo Chemical India Ltd,Chemicals,Chemicals,INE258G01013,Small Cap,false,false,Listed
SUMMITSEC,Summit Securities Ltd,Unknown,Unknown,INE519C01017,Unknown,false,false,Listed
SUNCLAY,Sundaram Clayton Ltd,Unknown,Unknown,INE0Q3R01026,Unknown,false,false,Listed
SUNDARAM,Sundaram Multi Pap Ltd,Unknown,Unknown,INE108E01023,Unknown,false,false,Listed
SUNDARMFIN,Sundaram Finance Ltd,Financial Services,Financial Services,INE660A01013,Mid Cap,false,false,Listed
SUNDRMFAST,Sundram Fasteners Ltd,Unknown,Unknown,INE387A01021,Unknown,false,false,Listed
SUNDROP,Sundrop Brands Ltd,Unknown,Unknown,INE209A01019,Unknown,false,false,Listed
